match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
GOLD_2015-07-12_TRINIDAD_AND_TOBAGO_CUBA,2015-07-12,Trinidad and Tobago,Cuba,2,0,Gold Cup,Glendale,United States,True
GOLD_2015-07-12_GUATEMALA_MEXICO,2015-07-12,Guatemala,Mexico,0,0,Gold Cup,Glendale,United States,True
GOLD_2015-07-13_HONDURAS_HAITI,2015-07-13,Honduras,Haiti,0,1,Gold Cup,Kansas City,United States,True
GOLD_2015-07-13_USA_PANAMA,2015-07-13,USA,Panama,1,1,Gold Cup,Kansas City,United States,False
GOLD_2015-07-14_CANADA_COSTA_RICA,2015-07-14,Canada,Costa Rica,0,0,Gold Cup,Toronto,Canada,False
GOLD_2015-07-14_JAMAICA_EL_SALVADOR,2015-07-14,Jamaica,El Salvador,1,0,Gold Cup,Toronto,Canada,True
GOLD_2015-07-15_GUATEMALA_CUBA,2015-07-15,Guatemala,Cuba,0,1,Gold Cup,Charlotte,United States,True
GOLD_2015-07-15_TRINIDAD_AND_TOBAGO_MEXICO,2015-07-15,Trinidad and Tobago,Mexico,4,4,Gold Cup,Charlotte,United States,True
GOLD_2015-07-18_HAITI_JAMAICA,2015-07-18,Haiti,Jamaica,0,1,Gold Cup,Baltimore,United States,True
GOLD_2015-07-18_USA_CUBA,2015-07-18,USA,Cuba,6,0,Gold Cup,Baltimore,United States,False
GOLD_2015-07-19_MEXICO_COSTA_RICA,2015-07-19,Mexico,Costa Rica,1,0,Gold Cup,East Rutherford,United States,True
GOLD_2015-07-19_TRINIDAD_AND_TOBAGO_PANAMA,2015-07-19,Trinidad and Tobago,Panama,1,1,Gold Cup,East Rutherford,United States,True
GOLD_2015-07-22_PANAMA_MEXICO,2015-07-22,Panama,Mexico,1,2,Gold Cup,Atlanta,United States,True
GOLD_2015-07-22_USA_JAMAICA,2015-07-22,USA,Jamaica,1,2,Gold Cup,Atlanta,United States,False
GOLD_2015-07-25_USA_PANAMA,2015-07-25,USA,Panama,1,1,Gold Cup,Chester,United States,False
GOLD_2015-07-26_JAMAICA_MEXICO,2015-07-26,Jamaica,Mexico,1,3,Gold Cup,Philadelphia,United States,True
OTHER_2015-07-31_SEYCHELLES_MADAGASCAR,2015-07-31,Seychelles,Madagascar,3,0,Indian Ocean Island Games,Réunion,Réunion,True
OTHER_2015-07-31_MALDIVES_MAYOTTE,2015-07-31,Maldives,Mayotte,1,3,Indian Ocean Island Games,Réunion,Réunion,True
OTHER_2015-07-31_RÉUNION_MAURITIUS,2015-07-31,Réunion,Mauritius,1,0,Indian Ocean Island Games,Réunion,Réunion,False
OTHER_2015-08-02_CHINA_PR_SOUTH_KOREA,2015-08-02,China PR,South Korea,0,2,EAFF Championship,Wuhan,China PR,False
OTHER_2015-08-02_NORTH_KOREA_JAPAN,2015-08-02,North Korea,Japan,2,1,EAFF Championship,Wuhan,China PR,True
OTHER_2015-08-02_SEYCHELLES_MALDIVES,2015-08-02,Seychelles,Maldives,1,2,Indian Ocean Island Games,Réunion,Réunion,True
OTHER_2015-08-02_MAYOTTE_MADAGASCAR,2015-08-02,Mayotte,Madagascar,1,1,Indian Ocean Island Games,Réunion,Réunion,True
OTHER_2015-08-02_COMOROS_MAURITIUS,2015-08-02,Comoros,Mauritius,0,3,Indian Ocean Island Games,Réunion,Réunion,True
OTHER_2015-08-04_MALDIVES_MADAGASCAR,2015-08-04,Maldives,Madagascar,0,4,Indian Ocean Island Games,Réunion,Réunion,True
OTHER_2015-08-04_SEYCHELLES_MAYOTTE,2015-08-04,Seychelles,Mayotte,0,1,Indian Ocean Island Games,Réunion,Réunion,True
OTHER_2015-08-04_RÉUNION_COMOROS,2015-08-04,Réunion,Comoros,3,0,Indian Ocean Island Games,Réunion,Réunion,False
OTHER_2015-08-05_JAPAN_SOUTH_KOREA,2015-08-05,Japan,South Korea,1,1,EAFF Championship,Wuhan,China PR,True
OTHER_2015-08-05_CHINA_PR_NORTH_KOREA,2015-08-05,China PR,North Korea,2,0,EAFF Championship,Wuhan,China PR,False
OTHER_2015-08-06_MAYOTTE_MAURITIUS,2015-08-06,Mayotte,Mauritius,2,1,Indian Ocean Island Games,Réunion,Réunion,True
