match_id,date,home_team,away_team,home_score,away_score,tournament,home_formation,away_formation,home_avg_age,away_avg_age,home_possession,away_possession,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_blocked,away_shots_blocked,home_shot_accuracy,away_shot_accuracy,home_passes_total,away_passes_total,home_pass_accuracy,away_pass_accuracy,home_key_passes,away_key_passes,home_tackles_won,away_tackles_won,home_tackle_success,away_tackle_success,home_interceptions,away_interceptions,home_clearances,away_clearances,home_aerials_won,away_aerials_won,home_attacking_intensity,away_attacking_intensity,home_defensive_intensity,away_defensive_intensity
WC_2026-06-28_DR_CONGO_UZBEKISTAN,2026-06-28,DR Congo,Uzbekistan,3,1,FIFA World Cup,4-4-2,3-4-2-1,28.6,27.8,50.9,59.0,19,3,4,1,1,0,21.1,33.3,485,355,82.5,75.8,14,2,20,29,80.0,72.5,7,12,25,38,12,23,33,5,52,79
WC_2026-06-28_COLOMBIA_PORTUGAL,2026-06-28,Colombia,Portugal,0,0,FIFA World Cup,4-3-3,4-2-3-1,29.7,27.6,49.8,47.4,24,13,6,2,7,4,25.0,15.4,544,446,89.2,90.8,20,8,15,9,65.2,69.2,6,13,16,22,5,8,44,21,37,44
WC_2026-06-28_SOUTH_AFRICA_CANADA,2026-06-28,South Africa,Canada,0,1,FIFA World Cup,4-2-3-1,4-4-2,26,26.7,50.0,50.6,6,12,1,7,1,0,16.7,58.3,554,379,84.1,78.6,5,10,22,20,75.9,62.5,15,8,33,16,10,22,11,22,70,44
WC_2026-06-29_BRAZIL_JAPAN,2026-06-29,Brazil,Japan,2,1,FIFA World Cup,4-3-3,3-4-2-1,28.9,27,48.8,48.8,19,5,7,2,6,2,36.8,40.0,682,313,91.6,83.1,17,3,12,10,70.6,62.5,9,6,19,45,13,15,36,8,40,61
WC_2026-06-29_GERMANY_PARAGUAY,2026-06-29,Germany,Paraguay,1,1,FIFA World Cup,4-4-2,4-4-2,27.8,28.8,61.2,69.7,21,7,6,3,8,2,28.6,42.9,805,255,90.1,62.7,10,5,13,33,61.9,68.8,4,13,23,55,21,19,31,12,40,101
WC_2026-06-30_NETHERLANDS_MOROCCO,2026-06-30,Netherlands,Morocco,1,1,FIFA World Cup,3-4-2-1,4-2-3-1,27.4,26.2,53.5,75.6,6,11,2,5,3,2,33.3,45.5,371,879,78.7,91.1,4,10,19,19,70.4,90.5,11,11,22,34,18,12,10,21,52,64
WC_2026-06-30_IVORY_COAST_NORWAY,2026-06-30,Ivory Coast,Norway,1,2,FIFA World Cup,4-1-4-1,4-3-3,25.4,26.3,48.0,47.4,14,9,5,4,0,3,35.7,44.4,401,474,84.5,87.6,9,8,24,19,88.9,73.1,4,5,11,37,12,16,23,17,39,61
WC_2026-06-30_FRANCE_SWEDEN,2026-06-30,France,Sweden,3,0,FIFA World Cup,4-2-3-1,4-4-2,26.7,27.2,46.1,57.5,25,8,12,3,4,1,48.0,37.5,551,350,87.8,79.4,21,5,13,13,65.0,54.2,5,12,23,26,13,7,46,13,41,51
WC_2026-07-01_MEXICO_ECUADOR,2026-07-01,Mexico,Ecuador,2,0,FIFA World Cup,4-3-3,4-4-2,27.5,25.7,41.1,55.5,15,7,3,1,3,1,20.0,14.3,316,410,78.5,83.2,14,6,10,11,55.6,64.7,7,6,39,19,23,15,29,13,56,36
WC_2026-07-01_ENGLAND_DR_CONGO,2026-07-01,England,DR Congo,2,1,FIFA World Cup,4-2-3-1,4-3-3,26.9,28.6,50.2,47.7,16,7,7,2,3,2,43.8,28.6,517,365,90.5,81.9,14,4,11,20,64.7,74.1,7,3,23,36,14,9,30,11,41,59
WC_2026-07-01_BELGIUM_SENEGAL,2026-07-01,Belgium,Senegal,2,2,FIFA World Cup,4-2-3-1,4-3-3,27.4,26.4,67.3,65.2,19,19,5,5,5,3,26.3,26.3,701,639,85.9,83.9,15,13,12,12,57.1,52.2,8,11,28,31,28,15,34,32,48,54
WC_2026-07-02_USA_BOSNIA_AND_HERZEGOVINA,2026-07-02,USA,Bosnia and Herzegovina,2,0,FIFA World Cup,4-3-3,5-3-2,26.3,26,42.7,64.5,8,10,2,3,2,3,25.0,30.0,415,447,84.1,81.7,5,6,12,15,80.0,62.5,7,7,28,26,13,8,13,16,47,48
WC_2026-07-02_SPAIN_AUSTRIA,2026-07-02,Spain,Austria,3,0,FIFA World Cup,4-2-3-1,4-2-3-1,26.3,28.2,49.9,50.7,23,5,10,0,7,1,43.5,0.0,629,347,90.6,82.1,21,4,19,16,79.2,69.6,6,6,15,21,12,3,44,9,40,43
